Turtle,Site,Date,Time,Sex,SCL_mm,SCW_mm,PL_mm,PW_mm,Mass_g,AirTemp_C,WaterTemp_C,Leech Count,Dorsal,Ventral,Notes,Order,
ACX,Joyce,4/28/23,12:32,F,85.3,61.3,65.1,53.6,104,30.7,28,1,,1,,53,
ANO,Joyce,4/30/23,10:38,F,90.9,64.3,67.2,53.5,135,28,23.9,5,,1,,54,
N--,Kenner,5/1/23,9:11 PM,F,95.7,63.4,68.1,56.9,162,24.5,25,6,1,1,,55,
ACK,Kenner,5/1/23,9:39 PM,F,102.9,71.6,76,63.6,192,23.1,22.5,5,1,1,,56,
A--,Kenner,5/1/23,9:50 PM,F,104.6,74.9,77.5,64.8,205,22,21.8,9,1,1,,57,
ANP,Joyce,5/7/23,11:35 AM,F,82.8,60,61.5,51.6,107,31.1,24.4,2,1,1,,58,
AKX,Joyce,5/9/23,11:38 AM,F,83.2,59.7,62.8,52.3,111,31.5,27.2,0,1,1,Turtle found out of the water nested into the soil/roots of an upturned at the waters edge,59,
AJK,Joyce,5/12/23,9:39 AM,F,92.4,62.8,68.1,55.9,134,28.5,26.6,0,1,1,Shell height: 33.4,60,
AJX,Joyce,5/12/23,10:10 AM,F,83.6,56.9,63.4,50,101,29.6,26.6,0,1,1,Shell height: 36.1,61,
AJW,Joyce,5/12/23,10:28 AM,M,77.5,53.5,53.8,46.1,70,29.7,26.3,0,1,1,Shell height: 31.0,62,
AJI,Kenner,5/15/23,8:30 PM,F,102.7,71,79.9,63.2,195,27.5,28,13,1,1,,63,Should this be AIJ?
AIK,Kenner,5/15/23,8:34 PM,F,100.7,70.5,73.2,61,180,27.1,28.8,10,1,1,,64,
AKN,Kenner,5/15/23,8:51 PM,M,80.3,57.6,57.4,50.5,104,27.4,26.3,12,1,1,,65,
BCN,Kenner,5/15/203,9:04 PM,F,105,74.8,76.8,66.1,219,27,27,18,,1,,66,
AIN,Kenner,5/15/23,10:04 PM,M,95.7,64.5,64.3,57.6,134,27.5,28.1,12,1,1,,67,
